Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,03/04/2022,,,Date,03/04/2022,,,
Time,12:39:15,,,Time,12:39:15,,,
Instrument,FPC1000 - 204388/002,,,Instrument,FPC1000 - 204388/002,,,
Firmware Version,V1.70,,,Firmware Version,V1.70,,,
Country of Origin,Czech Republic,,,Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,513500000,Hz,,Center Frequency,513500000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,12500000,Hz,,Span,12500000,Hz,,
Ref Level,-50,dBm,,Ref Level,-50,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Distortion,,,RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,10000,Hz,,RBW,10000,Hz,,
VBW,100000,Hz,,VBW,100000,Hz,,
SWT,0.252,s,,SWT,0.252,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,Trace Mode,Max Hold,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,RMS,,,Trace Detector,Max Peak,,,
Primary Transducer,- - -,,,Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,
Marker 1,507250000,Hz,,Marker 1,507250000,Hz,,
Marker 1 Value,-106.26,dBm,,Marker 1 Value,-101.51,dBm,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
507250000,-106.256713867188,,,507250000,-101.509216308594,,,
507260575.296108,-110.861991882324,,,507260575.296108,-101.276412963867,,,
507271150.592217,-110.473220825195,,,507271150.592217,-100.670417785645,,,
507281725.888325,-108.285758972168,,,507281725.888325,-100.152046203613,,,
507292301.184433,-108.227920532227,,,507292301.184433,-99.4444427490234,,,
507302876.480541,-112.519813537598,,,507302876.480541,-99.9401245117188,,,
507313451.77665,-117.149200439453,,,507313451.77665,-100.753707885742,,,
507324027.072758,-106.286293029785,,,507324027.072758,-102.01895904541,,,
507334602.368866,-106.596206665039,,,507334602.368866,-101.15518951416,,,
507345177.664975,-106.382713317871,,,507345177.664975,-101.167861938477,,,
507355752.961083,-106.449882507324,,,507355752.961083,-99.8128662109375,,,
507366328.257191,-111.105476379395,,,507366328.257191,-100.815612792969,,,
507376903.553299,-110.585662841797,,,507376903.553299,-99.1537246704102,,,
507387478.849408,-107.15315246582,,,507387478.849408,-99.084114074707,,,
507398054.145516,-110.647285461426,,,507398054.145516,-99.3768539428711,,,
507408629.441624,-106.913650512695,,,507408629.441624,-99.0357131958008,,,
507419204.737733,-112.555534362793,,,507419204.737733,-101.3525390625,,,
507429780.033841,-105.945732116699,,,507429780.033841,-99.7684631347656,,,
507440355.329949,-106.719993591309,,,507440355.329949,-100.03279876709,,,
507450930.626058,-113.791069030762,,,507450930.626058,-101.011520385742,,,
507461505.922166,-107.263168334961,,,507461505.922166,-100.960906982422,,,
507472081.218274,-105.872177124023,,,507472081.218274,-100.766098022461,,,
507482656.514382,-107.246299743652,,,507482656.514382,-99.4139404296875,,,
507493231.810491,-113.354423522949,,,507493231.810491,-99.4181213378906,,,
507503807.106599,-110.512184143066,,,507503807.106599,-99.9275360107422,,,
507514382.402707,-105.569381713867,,,507514382.402707,-100.921440124512,,,
507524957.698816,-106.328880310059,,,507524957.698816,-100.178192138672,,,
507535532.994924,-107.803688049316,,,507535532.994924,-99.708610534668,,,
507546108.291032,-108.850494384766,,,507546108.291032,-100.356643676758,,,
507556683.58714,-110.526626586914,,,507556683.58714,-98.686897277832,,,
507567258.883249,-107.590911865234,,,507567258.883249,-99.2048416137695,,,
507577834.179357,-110.773246765137,,,507577834.179357,-99.9680099487305,,,
507588409.475465,-108.452140808105,,,507588409.475465,-99.137321472168,,,
507598984.771574,-106.425582885742,,,507598984.771574,-99.9156875610352,,,
507609560.067682,-109.809997558594,,,507609560.067682,-100.047164916992,,,
507620135.36379,-115.778167724609,,,507620135.36379,-99.9367446899414,,,
507630710.659898,-104.498069763184,,,507630710.659898,-99.9148178100586,,,
507641285.956007,-105.293128967285,,,507641285.956007,-98.5160217285156,,,
507651861.252115,-107.233947753906,,,507651861.252115,-98.5039291381836,,,
507662436.548223,-112.477317810059,,,507662436.548223,-99.3783493041992,,,
507673011.844332,-109.774528503418,,,507673011.844332,-99.5198745727539,,,
507683587.14044,-109.469429016113,,,507683587.14044,-99.6185455322266,,,
507694162.436548,-109.072441101074,,,507694162.436548,-99.6090393066406,,,
507704737.732657,-106.871643066406,,,507704737.732657,-100.04736328125,,,
507715313.028765,-108.550842285156,,,507715313.028765,-98.7911071777344,,,
507725888.324873,-110.798385620117,,,507725888.324873,-99.7224349975586,,,
507736463.620981,-107.359977722168,,,507736463.620981,-99.6708221435547,,,
507747038.91709,-105.164810180664,,,507747038.91709,-99.1342620849609,,,
507757614.213198,-107.902557373047,,,507757614.213198,-99.1535491943359,,,
507768189.509306,-106.011100769043,,,507768189.509306,-100.569915771484,,,
507778764.805415,-110.036521911621,,,507778764.805415,-99.9626312255859,,,
507789340.101523,-112.539398193359,,,507789340.101523,-99.1830902099609,,,
507799915.397631,-105.061088562012,,,507799915.397631,-99.9961700439453,,,
507810490.693739,-107.725715637207,,,507810490.693739,-99.9382400512695,,,
507821065.989848,-107.447463989258,,,507821065.989848,-99.5999145507813,,,
507831641.285956,-109.788429260254,,,507831641.285956,-98.0781555175781,,,
507842216.582064,-106.265510559082,,,507842216.582064,-99.1621170043945,,,
507852791.878173,-110.388893127441,,,507852791.878173,-99.0192642211914,,,
507863367.174281,-112.030502319336,,,507863367.174281,-98.9653472900391,,,
507873942.470389,-107.263938903809,,,507873942.470389,-97.888542175293,,,
507884517.766497,-110.858192443848,,,507884517.766497,-98.9242553710938,,,
507895093.062606,-113.11735534668,,,507895093.062606,-100.13597869873,,,
507905668.358714,-108.455574035645,,,507905668.358714,-100.115585327148,,,
507916243.654822,-110.48942565918,,,507916243.654822,-100.526039123535,,,
507926818.950931,-113.91529083252,,,507926818.950931,-99.2056884765625,,,
507937394.247039,-108.692253112793,,,507937394.247039,-99.6804962158203,,,
507947969.543147,-110.86775970459,,,507947969.543147,-99.1743698120117,,,
507958544.839256,-106.056228637695,,,507958544.839256,-99.8216781616211,,,
507969120.135364,-111.378761291504,,,507969120.135364,-98.9888916015625,,,
507979695.431472,-105.85009765625,,,507979695.431472,-99.0676193237305,,,
507990270.72758,-104.091819763184,,,507990270.72758,-98.8276214599609,,,
508000846.023689,-108.430038452148,,,508000846.023689,-99.7321929931641,,,
508011421.319797,-112.647102355957,,,508011421.319797,-98.9643707275391,,,
508021996.615905,-113.675720214844,,,508021996.615905,-99.0964279174805,,,
508032571.912014,-107.985801696777,,,508032571.912014,-99.7853012084961,,,
508043147.208122,-106.023376464844,,,508043147.208122,-100.126068115234,,,
508053722.50423,-108.003128051758,,,508053722.50423,-98.1359786987305,,,
508064297.800338,-104.741470336914,,,508064297.800338,-97.7774200439453,,,
508074873.096447,-108.985801696777,,,508074873.096447,-98.4822463989258,,,
508085448.392555,-108.828109741211,,,508085448.392555,-98.4536743164063,,,
508096023.688663,-107.892082214355,,,508096023.688663,-98.6556549072266,,,
508106598.984772,-108.979446411133,,,508106598.984772,-99.471923828125,,,
508117174.28088,-108.692794799805,,,508117174.28088,-99.9849624633789,,,
508127749.576988,-105.180282592773,,,508127749.576988,-100.062744140625,,,
508138324.873096,-105.106414794922,,,508138324.873096,-98.7025375366211,,,
508148900.169205,-109.380973815918,,,508148900.169205,-98.9592590332031,,,
508159475.465313,-111.00260925293,,,508159475.465313,-98.6480407714844,,,
508170050.761421,-107.051635742188,,,508170050.761421,-99.011474609375,,,
508180626.05753,-109.10279083252,,,508180626.05753,-99.6387786865234,,,
508191201.353638,-103.756225585938,,,508191201.353638,-99.7594604492188,,,
508201776.649746,-107.488716125488,,,508201776.649746,-98.3425369262695,,,
508212351.945854,-107.46883392334,,,508212351.945854,-98.7484970092773,,,
508222927.241963,-109.817138671875,,,508222927.241963,-98.4802703857422,,,
508233502.538071,-108.743263244629,,,508233502.538071,-99.5965042114258,,,
508244077.834179,-104.720230102539,,,508244077.834179,-98.7636413574219,,,
