Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,03/04/2022,,,Date,03/04/2022,,,
Time,12:55:12,,,Time,12:55:12,,,
Instrument,FPC1000 - 204388/002,,,Instrument,FPC1000 - 204388/002,,,
Firmware Version,V1.70,,,Firmware Version,V1.70,,,
Country of Origin,Czech Republic,,,Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,601000000,Hz,,Center Frequency,601000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,12500000,Hz,,Span,12500000,Hz,,
Ref Level,-50,dBm,,Ref Level,-50,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Distortion,,,RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,10000,Hz,,RBW,10000,Hz,,
VBW,100000,Hz,,VBW,100000,Hz,,
SWT,0.252,s,,SWT,0.252,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,Trace Mode,Max Hold,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,RMS,,,Trace Detector,Max Peak,,,
Primary Transducer,- - -,,,Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,
Marker 1,594750000,Hz,,Marker 1,594750000,Hz,,
Marker 1 Value,-111.69,dBm,,Marker 1 Value,-101.23,dBm,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
594750000,-111.694877624512,,,594750000,-101.232925415039,,,
594760575.296108,-110.152160644531,,,594760575.296108,-100.892364501953,,,
594771150.592217,-108.527740478516,,,594771150.592217,-100.801414489746,,,
594781725.888325,-111.656776428223,,,594781725.888325,-100.251327514648,,,
594792301.184433,-111.920127868652,,,594792301.184433,-100.470413208008,,,
594802876.480541,-110.299598693848,,,594802876.480541,-101.06859588623,,,
594813451.77665,-111.865913391113,,,594813451.77665,-101.62638092041,,,
594824027.072758,-113.77140045166,,,594824027.072758,-101.123931884766,,,
594834602.368866,-114.455085754395,,,594834602.368866,-99.8328094482422,,,
594845177.664975,-108.740089416504,,,594845177.664975,-99.7559204101563,,,
594855752.961083,-107.767768859863,,,594855752.961083,-101.462791442871,,,
594866328.257191,-110.804183959961,,,594866328.257191,-101.412124633789,,,
594876903.5533,-111.343818664551,,,594876903.5533,-100.724723815918,,,
594887478.849408,-108.513961791992,,,594887478.849408,-99.8181610107422,,,
594898054.145516,-114.58145904541,,,594898054.145516,-100.556991577148,,,
594908629.441624,-113.028663635254,,,594908629.441624,-100.583320617676,,,
594919204.737733,-108.419067382813,,,594919204.737733,-99.8704681396484,,,
594929780.033841,-107.464157104492,,,594929780.033841,-99.7165374755859,,,
594940355.329949,-107.662971496582,,,594940355.329949,-100.524047851563,,,
594950930.626058,-109.121551513672,,,594950930.626058,-100.672660827637,,,
594961505.922166,-113.072341918945,,,594961505.922166,-100.38623046875,,,
594972081.218274,-110.337173461914,,,594972081.218274,-100.160308837891,,,
594982656.514382,-113.424270629883,,,594982656.514382,-99.9246444702148,,,
594993231.810491,-109.73942565918,,,594993231.810491,-98.2844009399414,,,
595003807.106599,-108.822731018066,,,595003807.106599,-100.485382080078,,,
595014382.402707,-110.083549499512,,,595014382.402707,-101.495254516602,,,
595024957.698816,-111.903030395508,,,595024957.698816,-100.678451538086,,,
595035532.994924,-110.192604064941,,,595035532.994924,-100.258316040039,,,
595046108.291032,-112.91259765625,,,595046108.291032,-100.174453735352,,,
595056683.58714,-109.379318237305,,,595056683.58714,-100.522186279297,,,
595067258.883249,-112.672073364258,,,595067258.883249,-99.9522857666016,,,
595077834.179357,-119.326850891113,,,595077834.179357,-99.9676208496094,,,
595088409.475465,-111.175682067871,,,595088409.475465,-100.714019775391,,,
595098984.771574,-108.000434875488,,,595098984.771574,-100.879981994629,,,
595109560.067682,-109.766799926758,,,595109560.067682,-100.1826171875,,,
595120135.36379,-109.99821472168,,,595120135.36379,-100.061950683594,,,
595130710.659899,-110.702484130859,,,595130710.659899,-100.088165283203,,,
595141285.956007,-110.100830078125,,,595141285.956007,-100.355895996094,,,
595151861.252115,-108.652770996094,,,595151861.252115,-99.9078521728516,,,
595162436.548223,-106.783851623535,,,595162436.548223,-99.8764877319336,,,
595173011.844332,-106.437202453613,,,595173011.844332,-100.602462768555,,,
595183587.14044,-104.275886535645,,,595183587.14044,-100.355690002441,,,
595194162.436548,-108.017555236816,,,595194162.436548,-99.6479263305664,,,
595204737.732656,-112.69344329834,,,595204737.732656,-99.4971466064453,,,
595215313.028765,-112.492240905762,,,595215313.028765,-100.026123046875,,,
