Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,03/04/2022,,,Date,03/04/2022,,,
Time,12:37:07,,,Time,12:37:07,,,
Instrument,FPC1000 - 204388/002,,,Instrument,FPC1000 - 204388/002,,,
Firmware Version,V1.70,,,Firmware Version,V1.70,,,
Country of Origin,Czech Republic,,,Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,501000000,Hz,,Center Frequency,501000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,12500000,Hz,,Span,12500000,Hz,,
Ref Level,-50,dBm,,Ref Level,-50,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Distortion,,,RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,10000,Hz,,RBW,10000,Hz,,
VBW,100000,Hz,,VBW,100000,Hz,,
SWT,0.252,s,,SWT,0.252,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,Trace Mode,Max Hold,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,RMS,,,Trace Detector,Max Peak,,,
Primary Transducer,- - -,,,Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,
Marker 1,494750000,Hz,,Marker 1,494750000,Hz,,
Marker 1 Value,-106.69,dBm,,Marker 1 Value,-101.57,dBm,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
494750000,-106.693565368652,,,494750000,-101.572113037109,,,
494760575.296108,-110.924613952637,,,494760575.296108,-101.767692565918,,,
494771150.592217,-110.523147583008,,,494771150.592217,-99.8484725952148,,,
494781725.888325,-114.650939941406,,,494781725.888325,-99.6513900756836,,,
494792301.184433,-110.857208251953,,,494792301.184433,-100.332466125488,,,
494802876.480541,-111.820945739746,,,494802876.480541,-101.001152038574,,,
494813451.77665,-105.455436706543,,,494813451.77665,-101.324775695801,,,
494824027.072758,-107.202987670898,,,494824027.072758,-100.249359130859,,,
494834602.368866,-108.633392333984,,,494834602.368866,-99.9885482788086,,,
494845177.664975,-111.452026367188,,,494845177.664975,-100.401634216309,,,
494855752.961083,-113.861175537109,,,494855752.961083,-101.590560913086,,,
494866328.257191,-116.455429077148,,,494866328.257191,-100.807426452637,,,
494876903.553299,-114.958023071289,,,494876903.553299,-100.667907714844,,,
494887478.849408,-110.563743591309,,,494887478.849408,-99.3390502929688,,,
494898054.145516,-106.706016540527,,,494898054.145516,-99.3999710083008,,,
494908629.441624,-109.297630310059,,,494908629.441624,-100.210037231445,,,
494919204.737733,-107.534248352051,,,494919204.737733,-99.2655868530273,,,
494929780.033841,-104.60758972168,,,494929780.033841,-99.6646728515625,,,
494940355.329949,-105.157928466797,,,494940355.329949,-99.6793594360352,,,
494950930.626058,-107.923927307129,,,494950930.626058,-100.644157409668,,,
494961505.922166,-107.376426696777,,,494961505.922166,-100.761245727539,,,
494972081.218274,-107.459449768066,,,494972081.218274,-101.017448425293,,,
494982656.514382,-112.838882446289,,,494982656.514382,-100.310920715332,,,
494993231.810491,-108.939102172852,,,494993231.810491,-101.699668884277,,,
495003807.106599,-109.644981384277,,,495003807.106599,-100.490760803223,,,
495014382.402707,-110.133338928223,,,495014382.402707,-98.4678268432617,,,
495024957.698816,-114.406646728516,,,495024957.698816,-99.4646835327148,,,
495035532.994924,-108.983558654785,,,495035532.994924,-100.046081542969,,,
495046108.291032,-112.809204101563,,,495046108.291032,-100.483543395996,,,
495056683.58714,-106.386405944824,,,495056683.58714,-100.71703338623,,,
495067258.883249,-108.579528808594,,,495067258.883249,-99.3467559814453,,,
495077834.179357,-111.173728942871,,,495077834.179357,-99.9200973510742,,,
495088409.475465,-109.927772521973,,,495088409.475465,-100.95027923584,,,
495098984.771574,-106.599517822266,,,495098984.771574,-100.308464050293,,,
495109560.067682,-107.912101745605,,,495109560.067682,-99.8858642578125,,,
495120135.36379,-107.883834838867,,,495120135.36379,-100.609245300293,,,
495130710.659898,-108.993827819824,,,495130710.659898,-99.9111099243164,,,
495141285.956007,-112.248153686523,,,495141285.956007,-99.9143829345703,,,
495151861.252115,-109.010383605957,,,495151861.252115,-98.9060974121094,,,
495162436.548223,-106.816131591797,,,495162436.548223,-98.9158248901367,,,
495173011.844332,-109.468940734863,,,495173011.844332,-99.1342163085938,,,
495183587.14044,-111.780784606934,,,495183587.14044,-99.4475860595703,,,
495194162.436548,-111.818740844727,,,495194162.436548,-99.8498840332031,,,
495204737.732657,-109.420440673828,,,495204737.732657,-99.7879257202148,,,
495215313.028765,-109.924934387207,,,495215313.028765,-100.828811645508,,,
495225888.324873,-108.99144744873,,,495225888.324873,-100.395919799805,,,
495236463.620981,-105.828407287598,,,495236463.620981,-100.184532165527,,,
495247038.91709,-112.05394744873,,,495247038.91709,-100.02465057373,,,
495257614.213198,-110.680511474609,,,495257614.213198,-99.5974960327148,,,
495268189.509306,-108.110191345215,,,495268189.509306,-99.8350143432617,,,
495278764.805415,-105.117637634277,,,495278764.805415,-98.8008041381836,,,
495289340.101523,-108.697219848633,,,495289340.101523,-99.0558929443359,,,
495299915.397631,-106.829132080078,,,495299915.397631,-100.038932800293,,,
495310490.693739,-111.37215423584,,,495310490.693739,-99.1778030395508,,,
495321065.989848,-110.053100585938,,,495321065.989848,-99.1528701782227,,,
495331641.285956,-106.960372924805,,,495331641.285956,-99.0470123291016,,,
495342216.582064,-108.191452026367,,,495342216.582064,-98.3550872802734,,,
495352791.878173,-109.651481628418,,,495352791.878173,-98.7584762573242,,,
495363367.174281,-111.901428222656,,,495363367.174281,-99.1580123901367,,,
495373942.470389,-107.619476318359,,,495373942.470389,-97.8552322387695,,,
495384517.766497,-107.107856750488,,,495384517.766497,-99.9280776977539,,,
495395093.062606,-109.594932556152,,,495395093.062606,-99.9688568115234,,,
495405668.358714,-109.388793945313,,,495405668.358714,-98.8669204711914,,,
495416243.654822,-109.531341552734,,,495416243.654822,-99.5715408325195,,,
495426818.950931,-114.174301147461,,,495426818.950931,-99.5929336547852,,,
495437394.247039,-109.85717010498,,,495437394.247039,-98.2971267700195,,,
495447969.543147,-109.368934631348,,,495447969.543147,-98.5664596557617,,,
495458544.839256,-105.270729064941,,,495458544.839256,-99.9665832519531,,,
495469120.135364,-107.475288391113,,,495469120.135364,-100.131591796875,,,
495479695.431472,-111.995834350586,,,495479695.431472,-98.3013534545898,,,
495490270.72758,-112.801315307617,,,495490270.72758,-98.3542404174805,,,
495500846.023689,-116.198463439941,,,495500846.023689,-99.4450302124023,,,
495511421.319797,-111.722702026367,,,495511421.319797,-98.8515319824219,,,
495521996.615905,-110.495948791504,,,495521996.615905,-98.9109649658203,,,
495532571.912014,-106.45189666748,,,495532571.912014,-98.8432235717773,,,
495543147.208122,-109.328254699707,,,495543147.208122,-97.870002746582,,,
495553722.50423,-112.107856750488,,,495553722.50423,-98.6033172607422,,,
495564297.800338,-107.115409851074,,,495564297.800338,-98.7944793701172,,,
495574873.096447,-104.903381347656,,,495574873.096447,-96.8782043457031,,,
495585448.392555,-110.378196716309,,,495585448.392555,-97.6898040771484,,,
495596023.688663,-107.317543029785,,,495596023.688663,-98.5190887451172,,,
495606598.984772,-107.481437683105,,,495606598.984772,-98.9291610717773,,,
495617174.28088,-108.151977539063,,,495617174.28088,-98.7932205200195,,,
495627749.576988,-110.339256286621,,,495627749.576988,-99.9194946289063,,,
495638324.873096,-107.686401367188,,,495638324.873096,-100.02360534668,,,
495648900.169205,-109.138778686523,,,495648900.169205,-99.0681457519531,,,
495659475.465313,-108.055191040039,,,495659475.465313,-99.5683364868164,,,
495670050.761421,-108.712455749512,,,495670050.761421,-99.2239227294922,,,
495680626.05753,-110.366477966309,,,495680626.05753,-97.926513671875,,,
495691201.353638,-103.206169128418,,,495691201.353638,-97.7758560180664,,,
495701776.649746,-108.006408691406,,,495701776.649746,-98.8374862670898,,,
495712351.945854,-107.92919921875,,,495712351.945854,-98.5663070678711,,,
495722927.241963,-105.352668762207,,,495722927.241963,-99.4987106323242,,,
495733502.538071,-111.189842224121,,,495733502.538071,-100.061698913574,,,
495744077.834179,-105.878829956055,,,495744077.834179,-99.6462020874023,,,
495754653.130288,-107.628631591797,,,495754653.130288,-99.1393356323242,,,
495765228.426396,-106.74031829834,,,495765228.426396,-98.4691467285156,,,
495775803.722504,-108.926956176758,,,495775803.722504,-98.2199630737305,,,
495786379.018613,-107.990493774414,,,495786379.018613,-98.1917037963867,,,
495796954.314721,-109.490119934082,,,495796954.314721,-99.906005859375,,,
495807529.610829,-107.039924621582,,,495807529.610829,-100.212440490723,,,
495818104.906937,-109.073173522949,,,495818104.906937,-99.0444946289063,,,
495828680.203046,-107.011329650879,,,495828680.203046,-98.9896697998047,,,
495839255.499154,-105.465377807617,,,495839255.499154,-99.8318023681641,,,
495849830.795262,-110.697982788086,,,495849830.795262,-99.873893737793,,,
495860406.091371,-111.499649047852,,,495860406.091371,-99.3912582397461,,,
495870981.387479,-112.960357666016,,,495870981.387479,-100.432357788086,,,
495881556.683587,-106.425506591797,,,495881556.683587,-98.5470352172852,,,
495892131.979695,-102.158912658691,,,495892131.979695,-97.7244567871094,,,
495902707.275804,-108.570915222168,,,495902707.275804,-98.9130706787109,,,
495913282.571912,-111.546508789063,,,495913282.571912,-98.5998458862305,,,
495923857.86802,-109.247161865234,,,495923857.86802,-98.5464324951172,,,
495934433.164129,-106.967643737793,,,495934433.164129,-98.5862731933594,,,
495945008.460237,-105.356285095215,,,495945008.460237,-99.0785827636719,,,
495955583.756345,-109.463714599609,,,495955583.756345,-99.026985168457,,,
495966159.052453,-105.429626464844,,,495966159.052453,-99.0288162231445,,,
495976734.348562,-106.272232055664,,,495976734.348562,-98.9412307739258,,,
495987309.64467,-115.232452392578,,,495987309.64467,-99.7026443481445,,,
495997884.940778,-109.787406921387,,,495997884.940778,-99.3124694824219,,,
496008460.236887,-109.510437011719,,,496008460.236887,-98.3174438476563,,,
496019035.532995,-107.371192932129,,,496019035.532995,-99.1678085327148,,,
496029610.829103,-109.304069519043,,,496029610.829103,-97.7881088256836,,,
496040186.125211,-111.831298828125,,,496040186.125211,-97.7212448120117,,,
496050761.42132,-109.402420043945,,,496050761.42132,-100.31697845459,,,
496061336.717428,-107.44841003418,,,496061336.717428,-97.9514083862305,,,
496071912.013536,-110.409339904785,,,496071912.013536,-99.4722518920898,,,
496082487.309645,-110.519905090332,,,496082487.309645,-100.61597442627,,,
496093062.605753,-105.544013977051,,,496093062.605753,-100.210479736328,,,
496103637.901861,-108.057579040527,,,496103637.901861,-100.305328369141,,,
496114213.19797,-104.719497680664,,,496114213.19797,-99.8783493041992,,,
496124788.494078,-106.510429382324,,,496124788.494078,-100.610198974609,,,
496135363.790186,-108.419242858887,,,496135363.790186,-100.280364990234,,,
496145939.086294,-111.425369262695,,,496145939.086294,-101.145080566406,,,
496156514.382403,-109.665092468262,,,496156514.382403,-99.943473815918,,,
496167089.678511,-110.950164794922,,,496167089.678511,-100.374061584473,,,
496177664.974619,-108.053466796875,,,496177664.974619,-100.407814025879,,,
496188240.270728,-108.304992675781,,,496188240.270728,-100.317207336426,,,
496198815.566836,-107.616416931152,,,496198815.566836,-100.50431060791,,,
496209390.862944,-110.102386474609,,,496209390.862944,-98.8967208862305,,,
496219966.159052,-108.56421661377,,,496219966.159052,-98.9267196655273,,,
496230541.455161,-117.77685546875,,,496230541.455161,-99.2478485107422,,,
496241116.751269,-107.759590148926,,,496241116.751269,-100.483543395996,,,
496251692.047377,-109.91397857666,,,496251692.047377,-100.776924133301,,,
496262267.343486,-108.816955566406,,,496262267.343486,-100.70157623291,,,
496272842.639594,-115.563499450684,,,496272842.639594,-99.8462600708008,,,
496283417.935702,-107.93578338623,,,496283417.935702,-100.608055114746,,,
496293993.231811,-107.748970031738,,,496293993.231811,-101.277397155762,,,
496304568.527919,-107.908790588379,,,496304568.527919,-100.061485290527,,,
496315143.824027,-109.456924438477,,,496315143.824027,-98.741455078125,,,
496325719.120135,-108.939743041992,,,496325719.120135,-99.8147964477539,,,
496336294.416244,-109.674285888672,,,496336294.416244,-99.6344985961914,,,
496346869.712352,-112.507598876953,,,496346869.712352,-100.927772521973,,,
496357445.00846,-109.215957641602,,,496357445.00846,-100.498466491699,,,
496368020.304569,-115.487182617188,,,496368020.304569,-100.34644317627,,,
496378595.600677,-110.333564758301,,,496378595.600677,-100.190185546875,,,
496389170.896785,-104.516609191895,,,496389170.896785,-101.182662963867,,,
496399746.192893,-106.77880859375,,,496399746.192893,-99.9754867553711,,,
496410321.489002,-109.581787109375,,,496410321.489002,-99.8724899291992,,,
496420896.78511,-108.503799438477,,,496420896.78511,-101.492500305176,,,
496431472.081218,-118.627738952637,,,496431472.081218,-101.071243286133,,,
496442047.377327,-107.553604125977,,,496442047.377327,-101.510757446289,,,
496452622.673435,-108.278190612793,,,496452622.673435,-101.670333862305,,,
496463197.969543,-113.411117553711,,,496463197.969543,-100.624855041504,,,
496473773.265651,-111.762756347656,,,496473773.265651,-101.341621398926,,,
496484348.56176,-111.545509338379,,,496484348.56176,-99.7336959838867,,,
496494923.857868,-117.931579589844,,,496494923.857868,-99.2446975708008,,,
496505499.153976,-110.062240600586,,,496505499.153976,-102.231941223145,,,
496516074.450085,-110.916000366211,,,496516074.450085,-102.180351257324,,,
496526649.746193,-111.026672363281,,,496526649.746193,-101.777557373047,,,
496537225.042301,-109.005462646484,,,496537225.042301,-100.957496643066,,,
496547800.338409,-109.150581359863,,,496547800.338409,-100.938591003418,,,
496558375.634518,-106.618423461914,,,496558375.634518,-101.104873657227,,,
496568950.930626,-106.519020080566,,,496568950.930626,-101.582954406738,,,
496579526.226734,-107.377265930176,,,496579526.226734,-100.806045532227,,,
496590101.522843,-109.14306640625,,,496590101.522843,-99.973991394043,,,
496600676.818951,-109.831886291504,,,496600676.818951,-99.2029800415039,,,
496611252.115059,-110.101333618164,,,496611252.115059,-101.023109436035,,,
496621827.411168,-115.289016723633,,,496621827.411168,-100.24193572998,,,
496632402.707276,-107.478134155273,,,496632402.707276,-99.8351364135742,,,
496642978.003384,-107.242317199707,,,496642978.003384,-100.517654418945,,,
496653553.299492,-108.895446777344,,,496653553.299492,-100.232482910156,,,
496664128.595601,-107.780654907227,,,496664128.595601,-100.180107116699,,,
496674703.891709,-108.535278320313,,,496674703.891709,-100.405380249023,,,
