Name,Sweep (T1),,,Name,Sweep (T2),,,
Date,03/04/2022,,,Date,03/04/2022,,,
Time,12:41:16,,,Time,12:41:16,,,
Instrument,FPC1000 - 204388/002,,,Instrument,FPC1000 - 204388/002,,,
Firmware Version,V1.70,,,Firmware Version,V1.70,,,
Country of Origin,Czech Republic,,,Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,
Center Frequency,526000000,Hz,,Center Frequency,526000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,12500000,Hz,,Span,12500000,Hz,,
Ref Level,-50,dBm,,Ref Level,-50,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00 ,,,Ref Position,1.00 ,,,
Range,100,dB,,Range,100,dB,,
RF Attenuation,Auto Low Distortion,,,RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,10000,Hz,,RBW,10000,Hz,,
VBW,100000,Hz,,VBW,100000,Hz,,
SWT,0.252,s,,SWT,0.252,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,Trace Mode,Max Hold,,,
Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,RMS,,,Trace Detector,Max Peak,,,
Primary Transducer,- - -,,,Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,Result Limit Line 2,- - -,,,
Marker 1,519750000,Hz,,Marker 1,519750000,Hz,,
Marker 1 Value,-114.88,dBm,,Marker 1 Value,-101.81,dBm,,

Frequency [Hz],Magnitude [dBm],,,Frequency [Hz],Magnitude [dBm],,,
519750000,-114.877960205078,,,519750000,-101.810546875,,,
519760575.296108,-106.975440979004,,,519760575.296108,-100.723350524902,,,
519771150.592217,-110.972091674805,,,519771150.592217,-100.130004882813,,,
519781725.888325,-109.050437927246,,,519781725.888325,-100.24284362793,,,
519792301.184433,-110.775375366211,,,519792301.184433,-100.249114990234,,,
519802876.480541,-107.383270263672,,,519802876.480541,-101.685180664063,,,
519813451.77665,-110.585655212402,,,519813451.77665,-100.543792724609,,,
519824027.072758,-107.647987365723,,,519824027.072758,-100.143096923828,,,
519834602.368866,-111.794509887695,,,519834602.368866,-99.7154388427734,,,
519845177.664975,-119.544891357422,,,519845177.664975,-99.821418762207,,,
519855752.961083,-109.940132141113,,,519855752.961083,-101.167839050293,,,
519866328.257191,-112.136512756348,,,519866328.257191,-101.183670043945,,,
519876903.553299,-107.666038513184,,,519876903.553299,-101.673118591309,,,
519887478.849408,-106.493766784668,,,519887478.849408,-100.575233459473,,,
519898054.145516,-105.750061035156,,,519898054.145516,-101.284729003906,,,
519908629.441624,-108.571304321289,,,519908629.441624,-99.5195465087891,,,
519919204.737733,-106.536918640137,,,519919204.737733,-99.5895767211914,,,
519929780.033841,-114.393218994141,,,519929780.033841,-100.959648132324,,,
519940355.329949,-112.839599609375,,,519940355.329949,-101.212669372559,,,
519950930.626058,-111.297836303711,,,519950930.626058,-99.0643997192383,,,
519961505.922166,-111.628440856934,,,519961505.922166,-97.9033737182617,,,
519972081.218274,-107.538017272949,,,519972081.218274,-99.1959381103516,,,
519982656.514382,-111.156379699707,,,519982656.514382,-99.6911544799805,,,
519993231.810491,-107.543479919434,,,519993231.810491,-99.8991317749023,,,
520003807.106599,-107.909843444824,,,520003807.106599,-100.67716217041,,,
520014382.402707,-108.603225708008,,,520014382.402707,-100.360466003418,,,
520024957.698816,-104.979331970215,,,520024957.698816,-101.204048156738,,,
520035532.994924,-106.234313964844,,,520035532.994924,-101.126502990723,,,
520046108.291032,-106.497680664063,,,520046108.291032,-100.671661376953,,,
520056683.58714,-104.462440490723,,,520056683.58714,-99.4868621826172,,,
520067258.883249,-113.04663848877,,,520067258.883249,-98.9928512573242,,,
520077834.179357,-112.579788208008,,,520077834.179357,-100.29906463623,,,
520088409.475465,-112.632904052734,,,520088409.475465,-99.8108291625977,,,
520098984.771574,-114.96949005127,,,520098984.771574,-100.199104309082,,,
520109560.067682,-111.346282958984,,,520109560.067682,-100.797004699707,,,
520120135.36379,-107.370887756348,,,520120135.36379,-100.645927429199,,,
520130710.659898,-114.177223205566,,,520130710.659898,-100.751258850098,,,
520141285.956007,-108.000679016113,,,520141285.956007,-98.7241897583008,,,
520151861.252115,-109.012519836426,,,520151861.252115,-100.219291687012,,,
520162436.548223,-108.057106018066,,,520162436.548223,-100.413284301758,,,
520173011.844332,-116.344047546387,,,520173011.844332,-100.693939208984,,,
520183587.14044,-109.126350402832,,,520183587.14044,-100.64070892334,,,
520194162.436548,-109.667335510254,,,520194162.436548,-100.174949645996,,,
520204737.732657,-109.092102050781,,,520204737.732657,-99.8395767211914,,,
520215313.028765,-110.267570495605,,,520215313.028765,-100.674530029297,,,
520225888.324873,-109.957496643066,,,520225888.324873,-99.1443557739258,,,
520236463.620981,-108.011016845703,,,520236463.620981,-99.6123657226563,,,
520247038.91709,-105.970779418945,,,520247038.91709,-99.8033828735352,,,
520257614.213198,-109.282958984375,,,520257614.213198,-99.7768478393555,,,
520268189.509306,-105.94408416748,,,520268189.509306,-98.0868453979492,,,
520278764.805415,-108.567878723145,,,520278764.805415,-97.8317031860352,,,
