Frequency: 563500000.000000
Sample Rate: 12500000.000000
Vector Length: 1024
Notes: 
Run time: 30.000040 seconds
Timestamp: 09/06/2025 16:42:06
-120.51,-119.52,-120.82,-118.22,-117.85,-113.95,-115.65,-131.25,-125.37,-135.96,-115.93,-110.51,-109.81,-114.60,-129.36,-116.50,-115.53,-113.48,-114.72,-119.65,-121.78,-114.99,-110.18,-109.50,-112.84,-116.02,-116.29,-120.38,-123.74,-130.69,-124.28,-122.19,-116.16,-117.28,-114.50,-116.46,-115.49,-115.98,-114.25,-111.77,-118.39,-120.12,-117.24,-118.69,-118.14,-115.31,-120.19,-126.13,-119.79,-112.90,-111.91,-119.25,-119.15,-112.92,-111.11,-111.40,-112.46,-110.26,-110.07,-111.06,-108.31,-107.79,-111.21,-113.35,-115.95,-116.60,-109.62,-110.72,-112.83,-107.30,-106.08,-111.03,-121.32,-112.22,-112.04,-113.90,-116.15,-119.05,-114.61,-112.34,-114.04,-115.58,-114.13,-116.15,-112.42,-111.71,-115.65,-125.30,-119.37,-113.65,-113.22,-113.63,-114.36,-121.47,-120.01,-111.77,-108.08,-104.30,-102.71,-105.03,-113.83,-124.24,-112.64,-109.25,-110.47,-115.87,-119.67,-114.67,-114.47,-121.23,-127.09,-120.35,-113.83,-110.63,-111.11,-113.26,-114.36,-109.36,-105.18,-104.91,-108.77,-117.20,-118.68,-133.55,-114.71,-111.49,-112.09,-115.88,-116.05,-114.82,-118.46,-122.58,-113.68,-108.99,-108.06,-108.50,-111.93,-121.73,-119.59,-125.32,-116.93,-114.40,-120.10,-119.27,-112.14,-114.42,-117.99,-112.06,-113.27,-108.41,-109.68,-118.15,-115.85,-116.10,-117.79,-112.20,-112.62,-130.23,-116.74,-114.90,-115.02,-111.29,-106.78,-105.93,-109.96,-121.08,-115.85,-109.58,-111.12,-116.09,-109.81,-107.38,-107.18,-106.86,-106.49,-107.31,-108.81,-110.26,-110.35,-111.39,-114.28,-116.63,-115.22,-110.55,-110.98,-111.51,-111.40,-116.23,-134.35,-120.26,-124.74,-119.84,-111.42,-111.00,-114.85,-114.87,-126.32,-115.43,-114.31,-116.46,-112.26,-109.52,-108.05,-108.06,-105.96,-103.75,-106.48,-111.62,-112.06,-115.29,-115.84,-115.75,-116.24,-118.67,-111.86,-108.44,-107.46,-108.99,-113.51,-115.14,-115.69,-118.21,-115.66,-111.32,-115.79,-108.67,-107.33,-114.38,-119.38,-116.83,-119.14,-121.98,-115.08,-108.85,-107.73,-113.34,-123.48,-114.38,-118.88,-123.06,-110.03,-105.56,-107.44,-113.84,-112.93,-113.16,-115.13,-120.11,-128.59,-132.48,-124.38,-113.11,-108.19,-105.12,-103.68,-106.38,-110.74,-109.53,-109.82,-108.28,-109.63,-111.06,-115.64,-113.80,-107.21,-106.79,-105.72,-106.11,-111.65,-117.49,-110.58,-107.39,-109.59,-115.49,-113.80,-111.19,-109.70,-109.66,-112.01,-116.03,-116.15,-114.41,-113.19,-121.79,-116.99,-116.31,-118.59,-114.71,-118.50,-123.85,-117.38,-120.25,-124.96,-117.05,-113.16,-111.47,-111.05,-110.39,-109.75,-109.81,-112.97,-118.94,-114.81,-113.64,-113.99,-114.88,-110.69,-110.69,-112.84,-113.42,-119.35,-113.58,-107.99,-107.45,-109.01,-115.82,-115.02,-108.44,-107.47,-111.59,-112.89,-107.84,-107.47,-109.98,-110.68,-112.54,-103.50,-97.15,-96.79,-103.34,-112.69,-109.77,-110.55,-115.17,-122.10,-116.91,-110.09,-107.59,-109.71,-117.74,-114.11,-108.94,-112.17,-112.29,-108.81,-109.80,-108.79,-109.44,-112.45,-111.99,-115.23,-121.31,-113.48,-118.86,-130.42,-115.62,-109.89,-109.54,-115.94,-116.03,-110.44,-108.87,-107.96,-110.12,-113.01,-114.42,-115.50,-112.95,-114.17,-122.37,-122.06,-116.70,-113.92,-110.40,-115.16,-129.69,-120.24,-115.64,-112.59,-116.75,-113.77,-110.81,-109.56,-107.87,-107.50,-111.56,-126.21,-115.78,-111.18,-106.63,-107.54,-116.65,-119.12,-115.10,-116.23,-119.25,-113.61,-108.66,-106.57,-105.66,-104.04,-105.15,-106.00,-102.71,-103.47,-104.19,-101.32,-100.27,-102.14,-106.61,-113.02,-119.49,-110.95,-108.95,-109.05,-109.58,-110.43,-109.93,-109.97,-112.03,-111.81,-114.36,-120.08,-116.12,-113.70,-108.57,-103.66,-102.82,-104.57,-105.69,-106.54,-109.54,-110.84,-115.50,-118.92,-113.00,-113.76,-116.86,-115.60,-106.77,-104.06,-106.75,-106.42,-110.33,-118.44,-106.43,-104.65,-107.53,-106.31,-108.24,-120.91,-114.90,-111.70,-108.20,-108.70,-116.98,-119.52,-111.51,-109.30,-108.34,-107.85,-108.67,-109.40,-111.81,-119.53,-113.72,-110.22,-112.09,-121.12,-122.60,-111.74,-111.93,-112.69,-105.13,-104.62,-107.51,-110.81,-106.59,-104.13,-105.35,-113.32,-116.28,-112.42,-107.64,-103.74,-105.13,-114.28,-118.23,-114.81,-111.87,-115.05,-111.83,-106.41,-108.04,-113.00,-130.32,-112.76,-111.79,-116.15,-118.50,-118.16,-109.90,-107.55,-108.94,-113.52,-113.84,-112.75,-110.66,-111.79,-114.52,-109.68,-105.83,-105.32,-114.29,-111.43,-110.90,-102.24,-102.70,-108.68,-107.84,-104.80,-105.66,-106.07,-106.96,-109.53,-109.60,-109.36,-107.47,-108.81,-116.56,-125.01,-119.80,-119.03,-108.60,-106.05,-112.19,-119.44,-111.52,-108.89,-106.04,-106.12,-109.74,-124.91,-113.54,-110.48,-110.93,-113.89,-121.63,-121.25,-112.62,-112.40,-122.23,-123.48,-115.71,-114.64,-114.06,-117.27,-115.41,-111.07,-114.96,-116.02,-110.22,-109.30,-113.07,-115.14,-111.87,-109.76,-110.42,-117.76,-114.47,-114.16,-119.50,-126.54,-126.35,-114.39,-109.69,-108.23,-108.97,-116.16,-123.47,-121.60,-119.25,-123.76,-124.07,-114.03,-113.47,-109.43,-106.82,-108.73,-113.85,-132.47,-123.35,-117.33,-108.35,-110.45,-122.16,-119.26,-114.24,-109.58,-109.14,-108.08,-107.96,-113.20,-110.59,-109.52,-109.30,-109.20,-109.15,-108.25,-109.95,-110.83,-113.11,-113.08,-108.37,-108.86,-112.45,-112.21,-114.17,-114.80,-114.76,-119.35,-121.56,-117.13,-119.85,-122.84,-118.65,-111.25,-112.36,-112.98,-109.32,-109.06,-111.99,-112.03,-107.87,-105.24,-106.30,-113.69,-117.58,-113.02,-114.23,-115.18,-120.72,-115.40,-112.44,-116.65,-120.50,-123.28,-112.82,-109.44,-112.90,-111.89,-111.41,-127.29,-118.87,-114.22,-118.49,-115.83,-110.68,-112.91,-118.70,-124.12,-114.01,-112.14,-116.08,-124.27,-116.41,-111.69,-110.42,-110.46,-112.08,-113.49,-114.59,-117.99,-114.06,-108.19,-107.23,-110.67,-120.78,-117.31,-111.38,-114.40,-112.50,-109.62,-106.65,-103.85,-105.04,-114.49,-124.07,-124.50,-125.79,-111.26,-109.51,-114.49,-119.11,-111.36,-103.75,-104.43,-113.64,-112.54,-126.06,-116.18,-119.23,-122.49,-111.05,-109.01,-107.88,-109.20,-119.41,-115.44,-113.20,-115.54,-118.61,-114.95,-107.84,-107.00,-111.53,-113.16,-110.05,-112.22,-113.52,-114.21,-114.83,-112.97,-112.97,-114.29,-110.95,-108.68,-109.90,-111.70,-112.12,-114.39,-123.08,-146.87,-119.63,-112.52,-114.12,-122.54,-109.96,-108.28,-108.40,-110.13,-114.63,-118.82,-113.98,-110.26,-111.71,-116.46,-116.71,-115.41,-118.87,-139.73,-113.87,-108.47,-107.08,-107.80,-109.78,-110.76,-113.16,-121.86,-124.51,-121.71,-114.98,-110.51,-110.82,-115.01,-111.77,-109.78,-116.37,-122.33,-116.86,-121.33,-120.57,-112.46,-110.95,-115.15,-127.45,-130.87,-119.98,-113.60,-111.10,-108.81,-109.13,-109.40,-110.48,-111.52,-114.67,-119.22,-114.38,-107.58,-105.72,-107.55,-116.71,-123.17,-115.86,-114.33,-120.50,-116.24,-111.30,-110.58,-111.83,-109.73,-113.76,-114.70,-113.46,-116.82,-122.29,-119.09,-115.32,-112.92,-112.06,-112.85,-113.57,-116.74,-117.52,-118.46,-112.15,-111.60,-117.08,-112.14,-110.36,-110.55,-108.29,-107.14,-107.87,-109.74,-109.61,-109.50,-109.02,-109.73,-111.97,-113.27,-114.00,-121.76,-126.84,-121.58,-111.41,-108.34,-107.84,-109.06,-113.86,-122.24,-111.21,-105.82,-104.31,-106.84,-113.58,-113.18,-109.86,-115.89,-121.36,-115.78,-114.38,-107.07,-106.95,-112.44,-113.00,-112.50,-111.90,-111.59,-112.91,-116.50,-115.07,-114.63,-110.64,-106.70,-107.45,-110.44,-109.19,-109.14,-112.56,-122.19,-128.15,-119.98,-118.31,-123.84,-126.76,-113.98,-109.31,-109.92,-114.40,-118.02,-111.86,-108.40,-108.77,-110.32,-111.11,-111.41,-108.70,-107.67,-109.45,-110.00,-115.42,-117.06,-114.30,-110.38,-113.72,-118.86,-112.25,-120.29,-115.05,-112.18,-122.59,-111.52,-109.68,-109.46,-108.61,-108.74,-107.83,-105.47,-107.00,-113.67,-113.79,-112.97,-115.33,-115.78,-113.53,-109.73,-111.17,-108.40,-103.89,-102.92,-104.76,-109.73,-119.20,-112.76,-113.98,-119.79,-115.45,-109.91,-107.13,-107.77,-109.87,-111.53,-120.81,-120.29,-114.42,-116.60,-126.76,-115.56,-114.07,-118.83,-115.27,-107.86,-105.74,-106.40,-108.26,-108.93,-108.45,-110.43,-113.99,-115.21,-118.53,-120.65,-126.11,-119.38,-115.78,-114.09,-114.94,-121.69,-113.27,-111.01,-109.02,-110.60,-111.24,-108.76,-109.87,-118.52,-118.63,-111.67,-110.66,-114.26,-116.09,-117.17,-116.18,-112.39,-112.49,-112.69,-113.47,-118.76,-115.80,-113.75,-113.43,-112.48,-110.61,-108.34,-109.27,-112.90,-116.41,-115.45,-112.46,-113.67,-119.75,-116.52,-111.24,-110.18,-113.01,-120.46,-124.82,-119.80,-125.57,-121.33,-118.37,-119.04,-121.44,-119.02,-119.44,-123.23,-117.94,-109.32,-108.10,-111.84,-121.62,-122.51,-119.75,-119.21,-112.06,-108.58,-110.29,-120.94,-116.24,-112.52,-115.33,-118.42,-118.55
Run time: 60.000682 seconds
Timestamp: 09/06/2025 16:42:36
-110.92,-117.92,-133.39,-126.85,-123.54,-120.90,-122.23,-130.35,-117.59,-118.06,-120.95,-122.02,-116.48,-111.95,-110.15,-111.12,-116.31,-123.67,-141.14,-117.81,-115.03,-112.07,-107.17,-107.39,-110.67,-114.20,-111.29,-110.13,-111.07,-112.90,-120.52,-120.00,-111.37,-112.09,-127.45,-117.04,-116.32,-117.29,-111.84,-108.77,-110.53,-113.61,-114.44,-118.04,-128.76,-119.78,-113.87,-111.45,-110.23,-109.33,-111.51,-123.01,-117.98,-117.91,-118.19,-118.03,-115.20,-111.36,-111.38,-113.92,-118.77,-115.87,-114.00,-115.89,-118.63,-120.08,-121.68,-122.00,-120.00,-116.48,-117.53,-142.69,-117.31,-114.48,-118.79,-127.31,-122.03,-124.14,-124.35,-117.54,-109.90,-111.32,-132.25,-113.70,-109.49,-107.78,-109.81,-114.16,-113.54,-110.06,-107.59,-109.08,-119.75,-115.96,-111.41,-114.82,-131.27,-119.22,-115.86,-116.48,-119.67,-114.74,-113.25,-113.51,-108.93,-106.24,-108.43,-116.23,-116.50,-117.83,-127.62,-131.00,-121.68,-110.97,-107.55,-108.77,-110.31,-109.49,-108.94,-109.29,-112.29,-114.23,-110.90,-110.32,-107.37,-105.39,-107.89,-123.99,-110.72,-106.04,-108.61,-123.61,-113.88,-114.34,-115.46,-118.18,-122.79,-113.32,-109.56,-105.91,-103.95,-104.06,-104.52,-104.64,-105.36,-108.01,-115.28,-119.33,-116.33,-121.19,-122.90,-120.69,-119.95,-118.97,-123.75,-123.44,-112.96,-110.26,-114.66,-120.98,-122.07,-113.08,-114.48,-122.94,-125.40,-113.16,-113.69,-130.99,-115.04,-115.13,-114.72,-115.72,-118.09,-114.51,-109.12,-108.51,-112.67,-116.96,-116.82,-118.18,-114.20,-107.07,-106.56,-110.72,-119.49,-115.49,-111.67,-113.12,-114.27,-108.96,-106.55,-112.70,-111.48,-110.13,-111.56,-110.48,-126.91,-109.03,-108.83,-110.75,-113.27,-115.78,-117.67,-118.77,-110.01,-106.57,-105.63,-105.58,-108.09,-113.29,-114.50,-115.08,-119.25,-113.92,-110.74,-111.57,-113.33,-121.29,-115.29,-110.17,-112.12,-114.05,-114.76,-115.46,-112.37,-109.00,-108.72,-111.36,-111.67,-110.16,-113.81,-123.86,-126.31,-117.64,-112.98,-113.17,-113.66,-112.15,-113.85,-114.48,-112.58,-112.86,-121.83,-116.04,-112.31,-114.03,-117.48,-116.91,-117.69,-119.33,-114.14,-110.63,-112.54,-117.76,-121.07,-123.02,-116.88,-114.01,-110.30,-109.68,-111.73,-113.13,-111.01,-111.89,-116.52,-112.09,-114.39,-113.16,-107.51,-106.77,-113.01,-119.09,-111.28,-110.88,-108.48,-105.94,-105.64,-106.20,-107.15,-109.49,-111.57,-112.68,-116.62,-116.24,-114.90,-110.62,-110.79,-113.88,-126.63,-112.49,-111.33,-112.35,-109.90,-106.98,-105.86,-110.73,-122.62,-115.20,-118.10,-115.10,-111.24,-109.93,-108.90,-112.85,-141.07,-116.15,-115.20,-122.17,-122.54,-111.52,-108.17,-114.30,-113.52,-106.61,-108.19,-121.79,-116.46,-117.56,-116.51,-119.06,-126.93,-114.54,-109.19,-108.11,-109.45,-110.45,-105.00,-98.75,-97.72,-102.81,-105.56,-108.26,-110.36,-107.84,-107.67,-108.61,-109.74,-110.90,-114.26,-140.62,-117.08,-123.83,-117.08,-110.33,-108.83,-107.53,-107.69,-111.71,-111.96,-114.06,-133.84,-108.21,-105.28,-109.72,-115.01,-115.89,-117.63,-110.28,-116.60,-123.60,-115.70,-114.00,-117.90,-123.95,-140.26,-117.03,-115.25,-122.64,-113.78,-116.48,-111.79,-111.92,-118.47,-114.22,-112.31,-108.40,-116.75,-113.17,-111.44,-109.63,-108.35,-110.59,-114.42,-116.59,-121.59,-118.84,-116.20,-113.20,-111.41,-106.99,-105.64,-106.65,-108.28,-113.67,-128.73,-114.05,-113.26,-114.21,-114.12,-117.25,-112.80,-108.97,-111.12,-118.92,-117.47,-110.86,-107.03,-109.73,-119.18,-114.30,-114.44,-113.80,-115.08,-113.31,-125.40,-111.83,-110.28,-106.18,-105.17,-111.42,-128.71,-112.34,-109.62,-114.31,-114.85,-111.57,-116.07,-126.35,-117.37,-111.13,-111.36,-116.30,-115.87,-110.06,-110.58,-113.32,-110.74,-114.34,-123.90,-117.27,-112.47,-109.01,-106.75,-105.52,-106.22,-109.82,-113.52,-115.77,-124.24,-116.76,-109.78,-111.47,-119.93,-116.20,-111.18,-110.76,-118.36,-111.32,-115.91,-118.57,-113.85,-111.58,-110.51,-113.12,-116.84,-115.20,-112.13,-111.43,-111.58,-108.30,-105.43,-104.45,-109.30,-125.74,-130.17,-115.42,-109.16,-106.15,-105.61,-107.08,-106.28,-108.06,-111.37,-115.02,-124.03,-116.04,-121.85,-107.77,-106.69,-114.32,-120.79,-113.57,-110.27,-108.64,-110.53,-113.84,-109.33,-106.24,-110.04,-127.74,-117.20,-108.89,-107.57,-115.60,-107.54,-104.21,-108.70,-122.76,-113.28,-111.90,-105.05,-96.36,-93.06,-95.06,-102.08,-117.13,-116.08,-113.43,-115.74,-118.35,-137.45,-118.39,-117.36,-118.55,-111.22,-115.42,-122.56,-121.10,-123.39,-117.44,-111.13,-112.06,-106.35,-103.90,-105.47,-111.09,-117.05,-105.94,-104.74,-109.00,-117.57,-115.72,-112.65,-112.46,-113.37,-115.75,-117.41,-106.39,-103.26,-103.72,-106.54,-112.37,-122.22,-108.85,-108.48,-111.96,-110.49,-109.54,-113.37,-128.87,-115.57,-110.14,-108.03,-110.19,-123.27,-108.51,-105.02,-106.64,-111.55,-115.72,-114.55,-119.04,-120.91,-114.56,-130.77,-111.78,-109.92,-114.36,-118.69,-115.87,-110.73,-108.45,-109.16,-109.60,-107.87,-105.80,-105.44,-107.12,-108.77,-108.58,-110.16,-114.09,-108.66,-108.37,-111.13,-110.03,-112.22,-114.82,-112.13,-107.51,-106.50,-109.15,-110.32,-109.07,-110.11,-118.63,-119.93,-118.98,-119.02,-115.66,-111.87,-108.13,-108.73,-111.48,-142.63,-111.59,-110.37,-110.09,-107.71,-105.03,-103.18,-105.12,-113.31,-126.43,-118.63,-122.40,-118.31,-111.13,-113.58,-117.83,-113.65,-114.03,-122.90,-111.02,-107.64,-108.36,-107.63,-106.17,-108.46,-113.84,-112.30,-110.24,-110.90,-112.51,-111.39,-109.05,-110.89,-110.55,-107.30,-110.33,-120.74,-122.43,-115.97,-111.00,-112.86,-118.41,-120.32,-121.99,-114.33,-121.45,-125.71,-119.07,-114.46,-116.72,-113.35,-110.02,-111.34,-115.40,-115.95,-115.12,-111.33,-107.06,-107.34,-109.65,-111.17,-120.92,-111.98,-109.28,-110.29,-110.49,-111.65,-122.33,-116.16,-108.68,-107.88,-109.22,-110.09,-115.48,-125.32,-116.86,-123.65,-115.61,-108.33,-104.49,-103.32,-105.71,-110.78,-114.04,-119.85,-114.29,-109.89,-108.32,-105.90,-111.02,-117.05,-117.57,-120.99,-113.60,-114.26,-116.12,-117.01,-111.27,-114.15,-117.32,-119.44,-124.31,-117.23,-114.36,-115.02,-123.14,-121.65,-114.61,-111.09,-112.05,-117.58,-110.69,-110.61,-117.40,-121.65,-142.34,-117.55,-110.57,-108.91,-113.66,-115.11,-108.34,-107.34,-106.73,-103.19,-102.32,-105.72,-109.63,-110.64,-119.71,-127.49,-118.26,-113.09,-111.58,-111.37,-113.95,-119.12,-124.09,-118.98,-112.38,-113.55,-116.68,-110.34,-106.43,-107.17,-111.23,-112.97,-109.76,-113.17,-124.16,-111.10,-111.44,-108.87,-107.91,-109.26,-110.18,-113.69,-125.06,-109.78,-107.04,-109.06,-110.81,-112.02,-118.89,-124.84,-119.03,-119.80,-121.83,-122.75,-120.49,-114.83,-110.58,-110.64,-120.30,-120.51,-126.63,-124.50,-119.51,-119.33,-112.87,-111.07,-111.72,-112.61,-115.57,-112.34,-110.49,-114.55,-115.80,-120.03,-122.50,-113.46,-114.74,-114.67,-114.58,-115.36,-109.85,-108.13,-113.57,-115.67,-109.77,-111.46,-110.12,-107.37,-108.15,-110.09,-107.19,-105.60,-107.25,-111.77,-111.93,-111.29,-117.48,-112.08,-106.99,-108.56,-111.72,-112.47,-111.92,-115.13,-121.29,-116.55,-114.47,-115.95,-114.25,-111.84,-113.58,-116.37,-120.39,-111.34,-111.15,-113.52,-112.22,-111.41,-114.69,-128.56,-123.34,-121.18,-111.28,-110.13,-114.64,-126.04,-111.70,-106.55,-104.12,-104.93,-106.64,-108.09,-113.21,-123.85,-114.31,-117.72,-122.75,-112.17,-110.35,-113.63,-117.53,-118.58,-115.27,-112.35,-112.94,-111.09,-109.49,-112.12,-114.90,-111.76,-111.90,-111.83,-110.90,-109.24,-114.08,-123.17,-111.16,-106.04,-103.71,-105.81,-115.41,-119.72,-123.40,-116.01,-111.38,-112.91,-116.86,-117.16,-115.51,-116.22,-116.18,-114.76,-109.48,-108.72,-112.85,-137.59,-117.68,-111.16,-107.19,-109.21,-119.64,-113.81,-110.73,-107.96,-106.46,-108.52,-119.46,-119.86,-118.03,-121.80,-112.69,-108.84,-110.45,-114.73,-111.47,-109.19,-109.21,-108.52,-108.13,-109.93,-114.05,-119.76,-128.06,-116.07,-113.68,-113.91,-114.77,-116.83,-120.00,-126.25,-134.04,-128.16,-115.51,-113.75,-117.69,-115.84,-110.53,-110.88,-114.49,-112.00,-110.04,-108.68,-107.31,-109.58,-118.05,-122.76,-114.52,-111.88,-111.41,-113.59,-111.44,-110.99,-112.38,-118.90,-118.20,-117.80,-121.27,-128.71,-125.19,-119.34,-113.73,-112.48,-121.58,-132.52,-123.08,-111.24,-107.53,-110.97,-121.65,-117.52,-112.74,-110.74,-111.62,-116.71,-122.20,-126.07,-114.17,-113.53,-115.87,-116.40,-111.99,-109.87,-113.51,-121.90,-116.44,-110.27,-112.63,-116.66,-110.42,-110.70,-114.20,-115.55,-115.97,-114.71,-113.29,-119.46,-114.54,-110.69,-112.49,-114.34,-114.03,-115.64,-113.53,-112.01,-114.02,-119.43,-111.49,-107.61,-110.58,-123.08,-121.76,-116.28,-116.73,-115.69,-111.59
Run time: 90.000751 seconds
